location,snow_depth,snow_water_equivalent,elevation_band,elevation,month,year,state
Baldy,57,12.7,9,9125,02,10,az
Baldy,49,14.2,9,9125,03,10,az
Baldy,37,15.2,9,9125,04,10,az
Baldy,0,0.0,9,9125,05,10,az
Baldy,0,0.0,9,9125,06,10,az
Baldy,22,3.0,9,9125,01,11,az
Baldy,15,3.5,9,9125,02,11,az
Baldy,17,5.3,9,9125,03,11,az
Baldy,0,0.0,9,9125,04,11,az
Baldy,0,0.0,9,9125,05,11,az
Baldy,0,0.0,9,9125,06,11,az
Baldy,17,4.7,9,9125,01,12,az
Baldy,20,6.2,9,9125,02,12,az
Baldy,17,6.0,9,9125,03,12,az
Baldy,0,0.0,9,9125,04,12,az
Baldy,0,0.0,9,9125,05,12,az
Baldy,0,0.0,9,9125,06,12,az
Baldy,17,3.7,9,9125,01,13,az
Baldy,22,5.8,9,9125,02,13,az
Baldy,28,7.5,9,9125,03,13,az
Baldy,0,0.0,9,9125,04,13,az
Baldy,0,0.0,9,9125,05,13,az
Baldy,0,0.0,9,9125,06,13,az
Baldy,9,2.6,9,9125,01,14,az
Baldy,7,2.9,9,9125,02,14,az
Baldy,2,0.3,9,9125,03,14,az
Baldy,0,0.0,9,9125,04,14,az
Baldy,0,0.0,9,9125,05,14,az
Baldy,0,0.0,9,9125,06,14,az
Baldy,7,1.2,9,9125,01,15,az
Baldy,13,4.4,9,9125,02,15,az
Baldy,3,2.1,9,9125,03,15,az
Baldy,0,0.0,9,9125,04,15,az
Baldy,0,0.0,9,9125,05,15,az
Baldy,0,0.0,9,9125,06,15,az
Baldy,11,2.4,9,9125,01,16,az
Baldy,16,4.5,9,9125,02,16,az
Baldy,0,0.0,9,9125,03,16,az
Baldy,0,0.0,9,9125,04,16,az
Baldy,0,0.0,9,9125,05,16,az
Baldy,0,0.0,9,9125,06,16,az
"Bar M",15,3.8,6,6393,01,13,az
"Bar M",4,1.7,6,6393,02,13,az
"Bar M",2,1.0,6,6393,03,13,az
"Bar M",0,0.0,6,6393,04,13,az
"Bar M",0,0.0,6,6393,05,13,az
"Bar M",0,0.0,6,6393,06,13,az
"Bar M",3,1.5,6,6393,01,14,az
"Bar M",1,0.3,6,6393,02,14,az
"Bar M",1,0.1,6,6393,03,14,az
"Bar M",0,0.0,6,6393,04,14,az
"Bar M",0,0.0,6,6393,05,14,az
"Bar M",0,0.0,6,6393,06,14,az
"Bar M",10,1.2,6,6393,01,15,az
"Bar M",0,0.0,6,6393,02,15,az
"Bar M",0,0.0,6,6393,03,15,az
"Bar M",0,0.0,6,6393,04,15,az
"Bar M",0,0.0,6,6393,05,15,az
"Bar M",0,0.0,6,6393,06,15,az
"Bar M",6,1.8,6,6393,01,16,az
"Bar M",10,4.3,6,6393,02,16,az
"Bar M",0,0.0,6,6393,03,16,az
"Bar M",0,0.0,6,6393,04,16,az
"Bar M",0,0.0,6,6393,05,16,az
"Bar M",0,0.0,6,6393,06,16,az
"Beaver Head",2,0.2,7,8000,01,00,az
"Beaver Head",0,0.0,7,8000,01,00,az
"Beaver Head",0,0.0,7,8000,02,00,az
"Beaver Head",1,0.2,7,8000,03,00,az
"Beaver Head",0,0.0,7,8000,01,01,az
"Beaver Head",8,1.5,7,8000,02,01,az
"Beaver Head",5,1.0,7,8000,03,01,az
"Beaver Head",0,0.0,7,8000,03,01,az
"Beaver Head",4,0.6,7,8000,02,02,az
"Beaver Head",0,0.0,7,8000,02,02,az
"Beaver Head",0,0.0,7,8000,03,02,az
"Beaver Head",8,2.3,7,8000,01,03,az
"Beaver Head",0,0.0,7,8000,01,03,az
"Beaver Head",14,2.7,7,8000,03,03,az
"Beaver Head",0,0.0,7,8000,04,03,az
"Beaver Head",6,1.3,7,8000,01,04,az
"Beaver Head",12,2.9,7,8000,02,04,az
"Beaver Head",0,0.0,7,8000,03,04,az
"Beaver Head",8,3.4,7,8000,02,05,az
"Beaver Head",5,1.4,7,8000,02,05,az
"Beaver Head",0,0.0,7,8000,03,05,az
"Beaver Head",1,0.2,7,8000,01,06,az
"Beaver Head",0,0.0,7,8000,02,06,az
"Beaver Head",0,0.0,7,8000,03,06,az
"Beaver Head",13,2.2,7,8000,01,07,az
"Beaver Head",4,1.3,7,8000,02,07,az
"Beaver Head",0,0.0,7,8000,04,07,az
"Beaver Head",14,3.8,7,8000,01,08,az
"Beaver Head",4,1.2,7,8000,01,09,az
"Beaver Head",1,0.4,7,8000,02,09,az
"Beaver Head",0,0.0,7,8000,03,09,az
"Beaver Head",36,9.5,7,8000,01,10,az
"Beaver Head",28,8.4,7,8000,02,10,az
"Beaver Head",14,5.3,7,8000,03,10,az
"Beaver Head",10,2.1,7,8000,01,12,az
"Beaver Head",2,0.5,7,8000,01,12,az
"Beaver Head",4,1.0,7,8000,02,12,az
"Beaver Head",0,0.0,7,8000,03,12,az
"Beaver Head",4,1.3,7,8000,01,13,az
"Beaver Head",3,0.8,7,8000,02,13,az
"Beaver Head",0,0.0,7,8000,04,13,az
"Beaver Head",0,0.0,7,8000,01,14,az
"Beaver Head",0,0.0,7,8000,02,14,az
"Beaver Head",0,0.0,7,8000,03,14,az
"Beaver Head",5,1.2,7,8000,01,15,az
"Beaver Head",0,0.0,7,8000,02,15,az
"Beaver Head",0,0.0,7,8000,03,15,az
"Beaver Head",,0.0,7,7990,01,00,az
"Beaver Head",,0.0,7,7990,02,00,az
"Beaver Head",,0.0,7,7990,03,00,az
"Beaver Head",,0.0,7,7990,04,00,az
"Beaver Head",,0.0,7,7990,05,00,az
"Beaver Head",,0.0,7,7990,06,00,az
"Beaver Head",,0.0,7,7990,01,01,az
"Beaver Head",,1.9,7,7990,02,01,az
"Beaver Head",,2.8,7,7990,03,01,az
"Beaver Head",,0.0,7,7990,04,01,az
"Beaver Head",,0.0,7,7990,05,01,az
"Beaver Head",,0.0,7,7990,06,01,az
"Beaver Head",4,0.5,7,7990,01,02,az
"Beaver Head",9,1.6,7,7990,02,02,az
"Beaver Head",,0.0,7,7990,03,02,az
"Beaver Head",0,0.0,7,7990,04,02,az
"Beaver Head",0,0.0,7,7990,05,02,az
"Beaver Head",0,0.0,7,7990,06,02,az
"Beaver Head",12,2.2,7,7990,01,03,az
"Beaver Head",7,2.4,7,7990,02,03,az
"Beaver Head",19,4.5,7,7990,03,03,az
"Beaver Head",1,0.0,7,7990,04,03,az
"Beaver Head",0,0.0,7,7990,05,03,az
"Beaver Head",0,0.0,7,7990,06,03,az
"Beaver Head",4,1.7,7,7990,01,04,az
"Beaver Head",9,1.5,7,7990,02,04,az
"Beaver Head",18,3.7,7,7990,03,04,az
"Beaver Head",0,0.0,7,7990,04,04,az
"Beaver Head",0,0.0,7,7990,05,04,az
"Beaver Head",0,0.0,7,7990,06,04,az
"Beaver Head",7,3.0,7,7990,01,05,az
"Beaver Head",16,5.6,7,7990,02,05,az
"Beaver Head",19,6.3,7,7990,03,05,az
"Beaver Head",8,3.4,7,7990,04,05,az
"Beaver Head",1,0.0,7,7990,05,05,az
"Beaver Head",0,0.0,7,7990,06,05,az
"Beaver Head",0,0.0,7,7990,01,06,az
"Beaver Head",2,0.9,7,7990,02,06,az
"Beaver Head",0,0.0,7,7990,03,06,az
"Beaver Head",0,0.0,7,7990,04,06,az
"Beaver Head",0,0.0,7,7990,05,06,az
"Beaver Head",0,0.0,7,7990,06,06,az
"Beaver Head",4,1.9,7,7990,01,07,az
"Beaver Head",16,5.1,7,7990,02,07,az
"Beaver Head",13,6.3,7,7990,03,07,az
"Beaver Head",3,1.7,7,7990,04,07,az
"Beaver Head",0,0.0,7,7990,05,07,az
"Beaver Head",0,0.0,7,7990,06,07,az
"Beaver Head",13,2.7,7,7990,01,08,az
"Beaver Head",17,4.8,7,7990,02,08,az
"Beaver Head",19,7.6,7,7990,03,08,az
"Beaver Head",0,0.0,7,7990,04,08,az
"Beaver Head",0,0.0,7,7990,05,08,az
"Beaver Head",0,0.0,7,7990,06,08,az
"Beaver Head",13,2.9,7,7990,01,09,az
"Beaver Head",9,3.6,7,7990,02,09,az
"Beaver Head",6,2.9,7,7990,03,09,az
"Beaver Head",0,0.0,7,7990,04,09,az
"Beaver Head",5,0.0,7,7990,05,09,az
"Beaver Head",1,0.0,7,7990,06,09,az
"Beaver Head",15,2.9,7,7990,01,10,az
"Beaver Head",39,9.9,7,7990,02,10,az
"Beaver Head",39,11.5,7,7990,03,10,az
"Beaver Head",23,10.5,7,7990,04,10,az
"Beaver Head",1,0.0,7,7990,05,10,az
"Beaver Head",1,0.0,7,7990,06,10,az
"Beaver Head",14,1.4,7,7990,01,11,az
"Beaver Head",5,1.5,7,7990,02,11,az
"Beaver Head",5,1.2,7,7990,03,11,az
"Beaver Head",0,0.0,7,7990,04,11,az
"Beaver Head",0,0.0,7,7990,05,11,az
"Beaver Head",0,0.0,7,7990,06,11,az
"Beaver Head",12,3.4,7,7990,01,12,az
"Beaver Head",8,3.8,7,7990,02,12,az
"Beaver Head",1,0.3,7,7990,03,12,az
"Beaver Head",0,0.0,7,7990,04,12,az
"Beaver Head",0,0.0,7,7990,05,12,az
"Beaver Head",0,0.0,7,7990,06,12,az
"Beaver Head",13,2.7,7,7990,01,13,az
"Beaver Head",5,2.0,7,7990,02,13,az
"Beaver Head",3,1.2,7,7990,03,13,az
"Beaver Head",0,0.0,7,7990,04,13,az
"Beaver Head",0,0.0,7,7990,05,13,az
"Beaver Head",0,0.0,7,7990,06,13,az
"Beaver Head",6,3.0,7,7990,01,14,az
"Beaver Head",5,2.5,7,7990,02,14,az
"Beaver Head",1,0.4,7,7990,03,14,az
"Beaver Head",0,0.0,7,7990,04,14,az
"Beaver Head",0,0.0,7,7990,05,14,az
"Beaver Head",0,0.0,7,7990,06,14,az
"Beaver Head",2,1.0,7,7990,01,15,az
"Beaver Head",6,2.6,7,7990,02,15,az
"Beaver Head",1,0.2,7,7990,03,15,az
"Beaver Head",0,0.0,7,7990,04,15,az
"Beaver Head",0,0.0,7,7990,05,15,az
"Beaver Head",0,0.0,7,7990,06,15,az
"Beaver Head",5,2.1,7,7990,01,16,az
"Beaver Head",7,3.2,7,7990,02,16,az
"Beaver Head",0,0.0,7,7990,03,16,az
"Beaver Head",0,0.0,7,7990,04,16,az
"Beaver Head",0,0.0,7,7990,05,16,az
"Beaver Head",0,0.0,7,7990,06,16,az
"Beaver Spring",19,3.7,9,9220,01,00,az
"Beaver Spring",18,5.3,9,9220,02,00,az
"Beaver Spring",19,6.3,9,9220,03,00,az
"Beaver Spring",20,7.5,9,9220,03,01,az
"Beaver Spring",19,4.1,9,9220,01,02,az
"Beaver Spring",15,4.2,9,9220,02,02,az
"Beaver Spring",0,0.0,9,9220,03,02,az
"Beaver Spring",12,3.2,9,9220,01,03,az
"Beaver Spring",25,5.5,9,9220,02,03,az
"Beaver Spring",27,9.6,9,9220,03,03,az
"Beaver Spring",20,4.5,9,9220,01,04,az
"Beaver Spring",28,6.9,9,9220,02,04,az
"Beaver Spring",0,0.0,9,9220,03,04,az
"Beaver Spring",22,5.4,9,9220,01,05,az
"Beaver Spring",25,8.1,9,9220,01,05,az
"Beaver Spring",42,13.5,9,9220,03,05,az
"Beaver Spring",42,14.5,9,9220,04,05,az
"Beaver Spring",9,1.9,9,9220,02,06,az
"Beaver Spring",3,0.8,9,9220,03,06,az
"Beaver Spring",8,2.7,9,9220,03,06,az
"Beaver Spring",16,3.6,9,9220,01,07,az
"Beaver Spring",27,6.9,9,9220,02,07,az
"Beaver Spring",9,1.5,9,9220,03,07,az
"Beaver Spring",,3.0,9,9220,01,08,az
"Beaver Spring",39,10.2,9,9220,02,08,az
"Beaver Spring",51,15.5,9,9220,02,08,az
"Beaver Spring",28,10.0,9,9220,01,09,az
"Beaver Spring",48,14.1,9,9220,02,10,az
"Beaver Spring",57,17.4,9,9220,02,10,az
"Beaver Spring",44,17.1,9,9220,03,10,az
"Beaver Spring",19,4.3,9,9220,01,12,az
"Beaver Spring",28,6.8,9,9220,02,12,az
"Beaver Spring",32,7.7,9,9220,01,13,az
"Beaver Spring",34,10.4,9,9220,02,13,az
"Beaver Spring",14,5.8,9,9220,03,13,az
"Beaver Spring",8,2.2,9,9220,01,14,az
"Beaver Spring",12,3.3,9,9220,02,14,az
"Beaver Spring",4,1.2,9,9220,03,14,az
"Beaver Spring",11,2.6,9,9220,01,15,az
"Beaver Spring",18,3.9,9,9220,02,15,az
"Beaver Spring",0,0.0,9,9220,03,15,az
"Beaver Spring",31,8.9,9,9220,01,16,az
"Beaver Spring",2,1.1,9,9220,03,16,az
"Beaver Spring",33,5.3,9,9200,01,10,az
"Beaver Spring",43,11.2,9,9200,02,10,az
"Beaver Spring",51,15.2,9,9200,03,10,az
"Beaver Spring",40,14.9,9,9200,04,10,az
"Beaver Spring",5,0.7,9,9200,05,10,az
"Beaver Spring",,0.0,9,9200,06,10,az
"Beaver Spring",27,6.1,9,9200,01,11,az
"Beaver Spring",24,5.3,9,9200,02,11,az
"Beaver Spring",23,6.0,9,9200,03,11,az
"Beaver Spring",8,2.7,9,9200,04,11,az
"Beaver Spring",0,0.0,9,9200,05,11,az
"Beaver Spring",0,0.0,9,9200,06,11,az
"Beaver Spring",9,3.1,9,9200,01,12,az
"Beaver Spring",11,4.7,9,9200,02,12,az
"Beaver Spring",18,7.4,9,9200,03,12,az
"Beaver Spring",0,0.0,9,9200,04,12,az
"Beaver Spring",0,0.0,9,9200,05,12,az
"Beaver Spring",0,0.0,9,9200,06,12,az
"Beaver Spring",19,4.2,9,9200,01,13,az
"Beaver Spring",28,8.3,9,9200,02,13,az
"Beaver Spring",32,10.1,9,9200,03,13,az
"Beaver Spring",7,2.0,9,9200,04,13,az
"Beaver Spring",0,0.0,9,9200,05,13,az
"Beaver Spring",0,0.0,9,9200,06,13,az
"Beaver Spring",10,3.3,9,9200,01,14,az
"Beaver Spring",11,3.4,9,9200,02,14,az
"Beaver Spring",7,2.8,9,9200,03,14,az
"Beaver Spring",0,0.0,9,9200,04,14,az
"Beaver Spring",1,0.5,9,9200,05,14,az
"Beaver Spring",0,0.0,9,9200,06,14,az
"Beaver Spring",7,1.3,9,9200,01,15,az
"Beaver Spring",14,3.4,9,9200,02,15,az
"Beaver Spring",26,4.1,9,9200,03,15,az
"Beaver Spring",0,0.0,9,9200,04,15,az
"Beaver Spring",0,0.0,9,9200,05,15,az
"Beaver Spring",0,0.0,9,9200,06,15,az
"Beaver Spring",23,6.5,9,9200,01,16,az
"Beaver Spring",31,9.5,9,9200,02,16,az
"Beaver Spring",15,6.4,9,9200,03,16,az
"Beaver Spring",0,0.0,9,9200,04,16,az
"Beaver Spring",2,0.4,9,9200,05,16,az
"Beaver Spring",0,0.0,9,9200,06,16,az
"Bright Angel",7,1.1,8,8400,01,00,az
