date,snow_depth,water,water_adjusted,site
2/2007,7.6,1.9,1.9,ABY
3/2007,21.8,4.5,6.0,ABY
4/2007,13.3,0.6,0.6,ABY
5/2007,0.0,0.0,--,ABY
1/2008,10.3,1.5,--,ABY
2/2008,30.3,6.0,7.0,ABY
3/2008,59.6,14.1,14.1,ABY
4/2008,27.3,10.6,10.6,ABY
5/2008,4.1,1.4,1.4,ABY
1/2009,19.5,3.7,--,ABY
2/2009,16.9,4.7,--,ABY
3/2009,25.8,8.4,--,ABY
4/2009,24.0,8.8,--,ABY
5/2009,0.0,0.0,--,ABY
1/2010,24.0,4.6,--,ABY
2/2010,47.1,10.3,--,ABY
3/2010,43.9,11.1,--,ABY
4/2010,39.6,9.0,--,ABY
5/2010,13.9,4.4,--,ABY
1/2011,26.6,6.6,--,ABY
4/2011,62.1,20.7,--,ABY
5/2011,0.0,0.0,--,ABY
1/2012,0.0,0.0,--,ABY
2/2012,5.9,1.4,--,ABY
3/2012,21.0,2.5,--,ABY
4/2012,16.5,5.1,--,ABY
5/2012,0.0,0.0,--,ABY
1/2013,30.4,5.1,--,ABY
2/2013,23.1,5.5,--,ABY
3/2013,20.2,6.8,--,ABY
4/2013,0.0,0.0,--,ABY
5/2013,0.0,0.0,--,ABY
1/2014,1.7,0.3,--,ABY
2/2014,0.0,0.0,--,ABY
3/2014,3.5,0.5,--,ABY
4/2014,0.0,0.0,--,ABY
5/2014,0.0,0.0,--,ABY
1/2015,4.0,1.0,--,ABY
2/2015,0.0,0.0,--,ABY
3/2015,0.0,0.0,--,ABY
4/2015,0.0,0.0,--,ABY
5/2015,0.0,0.0,--,ABY
2/2016,22.0,8.0,--,ABY
3/2016,14.5,6.5,--,ABY
4/2016,8.0,3.5,--,ABY
5/2016,0.0,0.0,--,ABY
2/2000,34.1,9.6,13.4,ADI
3/2000,43.4,14.4,14.5,ADI
4/2000,35.8,13.4,13.4,ADI
5/2000,0.0,0.0,--,ADI
2/2001,29.8,6.5,6.5,ADI
4/2001,19.2,5.2,5.2,ADI
5/2001,1.8,0.6,0.6,ADI
2/2002,31.7,9.2,9.2,ADI
3/2002,33.6,11.4,11.4,ADI
4/2002,76.8,33.6,33.6,ADI
5/2002,7.3,1.6,1.6,ADI
2/2003,15.5,6.1,6.1,ADI
3/2003,15.4,6.0,6.0,ADI
4/2003,46.1,24.2,24.2,ADI
5/2003,21.6,6.9,6.9,ADI
2/2004,39.4,11.4,11.5,ADI
3/2004,46.6,15.0,15.0,ADI
4/2004,22.4,10.2,10.2,ADI
5/2004,0.0,0.0,--,ADI
2/2005,53.3,21.4,21.4,ADI
3/2005,29.7,8.8,9.1,ADI
4/2005,32.7,10.7,10.7,ADI
5/2005,10.1,3.7,4.7,ADI
2/2006,23.6,6.6,6.9,ADI
3/2006,26.7,8.9,9.1,ADI
4/2006,43.5,15.3,15.4,ADI
5/2006,34.6,14.8,14.8,ADI
2/2007,15.4,4.4,4.4,ADI
3/2007,30.9,7.6,7.8,ADI
4/2007,20.0,6.0,6.0,ADI
5/2007,0.5,0.2,0.2,ADI
2/2008,37.4,8.7,9.0,ADI
3/2008,43.8,13.8,13.8,ADI
4/2008,33.7,13.7,13.7,ADI
5/2008,12.8,5.9,5.9,ADI
2/2009,24.8,7.4,--,ADI
3/2009,33.5,10.4,--,ADI
4/2009,28.4,10.4,--,ADI
5/2009,12.0,4.2,--,ADI
2/2010,34.4,8.2,--,ADI
3/2010,32.3,10.3,--,ADI
4/2010,41.3,13.1,--,ADI
5/2010,30.7,11.0,--,ADI
2/2011,22.5,8.2,--,ADI
3/2011,42.9,12.7,--,ADI
4/2011,53.9,19.9,--,ADI
5/2011,38.7,16.1,--,ADI
2/2012,6.0,2.4,--,ADI
3/2012,8.0,2.6,--,ADI
4/2012,17.0,6.2,--,ADI
5/2012,5.0,1.8,--,ADI
2/2013,26.4,7.4,--,ADI
3/2013,30.5,9.2,--,ADI
4/2013,9.1,3.7,--,ADI
5/2013,0.0,0.0,--,ADI
2/2014,0.5,0.0,--,ADI
3/2014,3.0,1.5,--,ADI
4/2014,2.5,0.5,--,ADI
5/2014,0.0,0.0,--,ADI
2/2015,1.5,0.5,--,ADI
3/2015,0.0,0.0,--,ADI
4/2015,0.0,0.0,--,ADI
5/2015,0.0,0.0,--,ADI
2/2016,48.5,15.5,--,ADI
3/2016,37.5,14.5,--,ADI
4/2016,34.5,15.5,--,ADI
5/2016,0.0,0.0,--,ADI
2/2000,70.4,13.5,14.6,AGP
3/2000,106.6,32.3,32.0,AGP
4/2000,79.4,32.5,32.5,AGP
2/2001,50.8,11.8,11.8,AGP
3/2001,88.3,22.0,22.0,AGP
4/2001,69.4,27.5,27.5,AGP
2/2002,66.0,20.1,20.1,AGP
3/2002,54.1,20.9,20.9,AGP
4/2002,72.2,24.8,24.8,AGP
3/2003,59.7,20.2,20.3,AGP
4/2003,55.2,22.0,22.1,AGP
3/2004,105.0,33.5,33.5,AGP
4/2004,56.1,25.7,25.7,AGP
2/2005,108.0,39.1,42.8,AGP
3/2005,135.7,50.0,50.0,AGP
4/2005,93.8,31.6,31.6,AGP
3/2006,104.9,34.8,32.9,AGP
4/2006,111.0,42.6,44.5,AGP
4/2007,32.2,11.3,11.3,AGP
4/2008,62.4,26.8,27.1,AGP
3/2009,82.0,24.0,--,AGP
4/2009,84.0,29.5,--,AGP
2/2010,81.4,23.8,--,AGP
3/2010,76.7,26.0,--,AGP
4/2010,104.9,36.0,--,AGP
2/2011,68.5,25.4,--,AGP
3/2011,103.6,35.6,--,AGP
4/2011,132.0,47.7,--,AGP
2/2012,25.6,6.6,--,AGP
3/2012,40.0,13.9,--,AGP
2/2013,60.5,21.3,--,AGP
3/2013,58.4,21.8,--,AGP
4/2013,47.8,20.1,--,AGP
2/2014,8.0,2.0,--,AGP
3/2014,17.5,5.5,--,AGP
4/2014,42.0,13.0,--,AGP
2/2015,21.5,5.5,--,AGP
3/2015,23.5,8.5,--,AGP
4/2015,2.0,1.0,--,AGP
2/2016,51.0,13.5,--,AGP
3/2016,53.5,19.0,--,AGP
4/2016,51.0,20.5,--,AGP
1/2000,5.7,1.1,--,ANR
2/2000,20.9,6.0,--,ANR
3/2000,29.3,9.9,--,ANR
4/2000,8.1,3.1,3.1,ANR
5/2000,0.0,0.0,--,ANR
1/2001,5.2,1.5,--,ANR
2/2001,10.3,2.3,--,ANR
3/2001,18.3,5.3,--,ANR
4/2001,0.0,0.0,--,ANR
5/2001,0.0,0.0,--,ANR
1/2002,13.2,4.0,--,ANR
2/2002,18.3,5.0,--,ANR
3/2002,10.4,4.0,--,ANR
4/2002,0.0,0.0,--,ANR
5/2002,0.0,0.0,--,ANR
1/2003,18.5,4.1,--,ANR
2/2003,5.9,2.2,--,ANR
3/2003,3.4,1.4,--,ANR
4/2003,0.0,0.0,--,ANR
5/2003,0.0,0.0,--,ANR
1/2004,17.5,2.7,--,ANR
2/2004,15.9,4.2,--,ANR
3/2004,22.3,6.6,--,ANR
4/2004,0.0,0.0,--,ANR
5/2004,0.0,0.0,--,ANR
1/2005,6.1,1.3,--,ANR
2/2005,24.0,7.7,--,ANR
3/2005,21.7,8.0,--,ANR
4/2005,10.0,3.6,--,ANR
5/2005,0.0,0.0,--,ANR
2/2006,14.4,3.9,--,ANR
3/2006,0.0,0.0,--,ANR
4/2006,13.9,5.1,--,ANR
5/2006,0.0,0.0,--,ANR
1/2007,2.9,0.5,--,ANR
2/2007,0.0,0.0,--,ANR
4/2007,0.0,0.0,--,ANR
5/2007,0.0,0.0,--,ANR
1/2008,4.4,0.7,--,ANR
2/2008,26.6,5.8,--,ANR
3/2008,27.9,7.7,--,ANR
4/2008,3.9,1.5,--,ANR
5/2008,0.0,0.0,--,ANR
1/2009,13.3,2.6,--,ANR
2/2009,10.8,3.2,--,ANR
3/2009,13.7,2.7,--,ANR
4/2009,12.7,3.7,--,ANR
5/2009,0.0,0.0,--,ANR
1/2010,11.5,2.7,--,ANR
2/2010,21.1,5.2,--,ANR
3/2010,19.7,4.6,--,ANR
4/2010,2.3,1.0,--,ANR
5/2010,0.0,0.0,--,ANR
1/2011,12.1,1.5,--,ANR
2/2011,7.8,1.8,--,ANR
3/2011,16.7,3.7,--,ANR
4/2011,22.3,6.7,--,ANR
5/2011,0.0,0.0,--,ANR
1/2012,0.0,0.0,--,ANR
2/2012,4.5,0.8,--,ANR
3/2012,0.0,0.0,--,ANR
4/2012,0.0,0.0,--,ANR
5/2012,0.0,0.0,--,ANR
1/2013,20.0,3.0,--,ANR
2/2013,12.2,3.6,--,ANR
3/2013,10.7,3.8,--,ANR
4/2013,0.0,0.0,--,ANR
5/2013,0.0,0.0,--,ANR
1/2014,0.0,0.0,--,ANR
2/2014,0.0,0.0,--,ANR
3/2014,0.0,0.0,--,ANR
4/2014,0.0,0.0,--,ANR
5/2014,0.0,0.0,--,ANR
1/2015,3.0,1.0,--,ANR
2/2015,0.0,0.0,--,ANR
3/2015,0.0,0.0,--,ANR
4/2015,0.0,0.0,--,ANR
5/2015,0.0,0.0,--,ANR
2/2016,7.0,2.5,--,ANR
3/2016,0.0,0.0,--,ANR
4/2016,3.0,0.0,--,ANR
5/2016,0.0,0.0,--,ANR
1/2000,5.0,1.7,--,APH
2/2000,57.2,14.6,16.1,APH
3/2000,96.4,30.3,29.9,APH
4/2000,63.6,29.7,29.7,APH
5/2000,31.4,16.1,16.1,APH
3/2001,60.5,18.3,18.6,APH
4/2001,37.6,17.9,17.9,APH
5/2001,37.6,16.9,16.9,APH
1/2002,57.1,21.6,--,APH
2/2002,64.0,24.7,24.7,APH
3/2002,63.7,29.0,29.0,APH
4/2002,78.7,34.5,34.5,APH
5/2002,45.1,21.9,21.9,APH
2/2003,40.4,18.5,18.5,APH
3/2003,47.8,20.6,20.6,APH
4/2003,44.7,21.8,21.8,APH
5/2003,63.8,26.6,26.7,APH
2/2004,63.6,23.0,23.0,APH
3/2004,98.0,36.6,36.1,APH
4/2004,53.1,26.6,26.6,APH
5/2004,16.1,8.6,8.6,APH
2/2005,76.4,29.9,29.9,APH
4/2005,117.7,46.8,46.8,APH
5/2005,85.8,43.6,44.4,APH
2/2006,61.6,20.3,20.3,APH
3/2006,53.7,22.8,27.6,APH
4/2006,97.2,38.6,40.8,APH
5/2006,102.1,47.8,47.8,APH
2/2007,22.0,8.1,8.1,APH
4/2007,51.5,15.6,15.7,APH
5/2007,9.3,4.2,4.2,APH
2/2008,89.0,26.0,26.6,APH
3/2008,85.9,30.8,30.8,APH
4/2008,63.5,32.7,32.8,APH
5/2008,31.0,16.3,16.5,APH
2/2009,33.1,13.6,--,APH
3/2009,61.1,23.0,--,APH
4/2009,62.7,28.8,--,APH
5/2009,35.8,18.6,--,APH
2/2010,69.3,20.3,--,APH
3/2010,74.3,26.2,--,APH
4/2010,71.5,32.3,--,APH
5/2010,62.3,31.7,--,APH
1/2011,62.4,18.6,--,APH
2/2011,60.6,28.0,--,APH
3/2011,91.7,36.8,--,APH
4/2011,151.4,57.9,--,APH
5/2011,117.1,60.1,--,APH
1/2012,0.0,0.0,--,APH
2/2012,14.8,3.6,--,APH
3/2012,19.4,4.9,--,APH
4/2012,44.0,15.9,--,APH
5/2012,26.5,11.6,--,APH
2/2013,32.5,13.5,--,APH
3/2013,34.0,13.6,--,APH
4/2013,28.5,12.3,--,APH
5/2013,2.6,1.2,--,APH
1/2014,7.9,2.0,--,APH
2/2014,7.5,1.0,--,APH
3/2014,31.5,12.0,--,APH
4/2014,42.5,13.5,--,APH
5/2014,10.0,2.5,--,APH
1/2015,19.0,5.0,--,APH
2/2015,5.0,1.0,--,APH
3/2015,6.0,1.0,--,APH
4/2015,0.0,0.0,--,APH
5/2015,0.0,0.0,--,APH
2/2016,75.0,27.5,--,APH
3/2016,60.5,22.5,--,APH
4/2016,75.5,35.5,--,APH
5/2016,34.5,17.5,--,APH
4/2000,53.6,25.6,25.6,ASH
4/2001,40.7,18.0,18.0,ASH
4/2003,26.7,12.9,13.0,ASH
4/2004,44.0,21.0,21.0,ASH
4/2005,59.2,27.8,27.8,ASH
4/2006,95.0,39.3,40.5,ASH
4/2007,16.2,7.3,7.3,ASH
4/2008,54.1,25.6,25.6,ASH
4/2009,53.0,20.5,--,ASH
4/2010,66.4,31.0,--,ASH
4/2011,135.0,53.0,--,ASH
4/2012,46.0,18.0,--,ASH
4/2014,8.5,1.5,--,ASH
4/2015,0.0,0.0,--,ASH
4/2016,44.0,20.0,--,ASH
2/2000,39.1,12.8,--,ATP
3/2000,86.5,29.4,--,ATP
4/2000,63.2,27.4,--,ATP
5/2000,41.5,19.5,--,ATP
2/2001,51.5,15.3,--,ATP
3/2001,80.6,26.4,--,ATP
4/2001,56.4,24.8,--,ATP
5/2001,41.2,18.8,--,ATP
2/2002,68.4,26.8,--,ATP
3/2002,63.4,30.2,--,ATP
4/2002,72.9,46.4,--,ATP
5/2002,35.7,15.5,--,ATP
2/2003,36.9,18.5,--,ATP
3/2003,43.4,19.5,--,ATP
4/2003,38.0,18.6,--,ATP
5/2003,88.7,32.5,--,ATP
2/2004,64.2,26.0,--,ATP
3/2004,106.1,40.2,--,ATP
4/2004,73.6,33.9,--,ATP
5/2004,46.4,23.2,--,ATP
2/2005,62.1,22.0,--,ATP
3/2005,74.5,26.1,--,ATP
4/2005,93.5,39.0,--,ATP
5/2005,79.7,39.7,--,ATP
2/2006,35.7,12.2,--,ATP
3/2006,41.0,13.0,--,ATP
2/2007,8.3,1.2,--,ATP
3/2007,56.6,16.0,--,ATP
4/2007,26.1,11.9,--,ATP
3/2008,106.1,38.6,--,ATP
4/2008,86.5,38.5,--,ATP
5/2008,63.9,32.8,--,ATP
2/2009,21.6,7.9,--,ATP
3/2009,56.1,17.9,--,ATP
4/2009,54.6,22.4,--,ATP
2/2010,68.0,21.0,--,ATP
3/2010,70.4,25.7,--,ATP
4/2010,88.8,32.0,--,ATP
5/2010,94.5,42.9,--,ATP
2/2011,43.2,17.4,--,ATP
3/2011,78.7,24.9,--,ATP
4/2011,135.8,50.1,--,ATP
5/2011,87.9,43.4,--,ATP
2/2012,15.3,6.2,--,ATP
3/2012,18.5,6.6,--,ATP
4/2012,69.1,24.5,--,ATP
5/2012,47.0,20.9,--,ATP
2/2013,36.1,13.9,--,ATP
3/2013,36.8,13.9,--,ATP
4/2013,24.5,10.9,--,ATP
5/2013,1.1,0.5,--,ATP
3/2014,9.0,4.0,--,ATP
4/2014,24.0,3.5,--,ATP
1/2015,7.0,1.5,--,ATP
2/2015,0.0,0.0,--,ATP
3/2015,0.0,0.0,--,ATP
4/2015,0.0,0.0,--,ATP
1/2016,30.0,8.0,--,ATP
2/2016,45.0,17.5,--,ATP
3/2016,40.0,18.5,--,ATP
4/2016,54.5,23.0,--,ATP
2/2000,0.0,0.0,0.1,ATS
3/2000,5.5,1.4,1.4,ATS
4/2000,0.0,0.0,--,ATS
5/2000,0.0,0.0,--,ATS
2/2001,21.1,5.6,5.6,ATS
3/2001,33.1,12.5,12.5,ATS
4/2001,5.5,2.3,2.3,ATS
5/2001,0.0,0.0,--,ATS
2/2002,23.7,7.5,7.5,ATS
3/2002,9.2,3.6,3.6,ATS
4/2002,9.8,4.3,4.3,ATS
5/2002,0.0,0.0,--,ATS
2/2003,5.8,2.3,2.3,ATS
3/2003,2.0,0.5,0.5,ATS
4/2003,0.0,0.0,--,ATS
5/2003,0.0,0.0,--,ATS
2/2004,15.9,6.0,6.0,ATS
3/2004,22.6,7.4,7.4,ATS
4/2004,0.0,0.0,--,ATS
5/2004,0.0,0.0,--,ATS
2/2005,23.0,9.7,9.8,ATS
3/2005,12.4,5.7,5.7,ATS
4/2005,7.7,3.5,3.5,ATS
5/2005,0.0,0.0,--,ATS
2/2006,5.1,1.9,2.0,ATS
3/2006,2.3,0.4,0.7,ATS
4/2006,29.3,10.4,10.4,ATS
5/2006,3.6,1.6,1.6,ATS
2/2007,1.0,0.6,0.6,ATS
3/2007,29.3,7.1,7.1,ATS
4/2007,2.4,0.9,0.9,ATS
5/2007,0.0,0.0,--,ATS
2/2008,40.8,12.5,12.5,ATS
3/2008,36.9,14.1,14.1,ATS
4/2008,17.3,7.7,7.7,ATS
5/2008,0.0,0.0,--,ATS
2/2009,8.8,3.6,--,ATS
3/2009,22.0,7.8,--,ATS
4/2009,7.9,3.3,--,ATS
5/2009,0.0,0.0,--,ATS
2/2010,16.7,5.2,--,ATS
3/2010,6.5,3.1,--,ATS
4/2010,1.3,0.6,--,ATS
5/2010,0.0,0.0,--,ATS
2/2011,8.6,4.3,--,ATS
3/2011,37.0,10.4,--,ATS
4/2011,38.1,14.3,--,ATS
5/2011,10.1,5.2,--,ATS
2/2012,3.1,1.1,--,ATS
3/2012,2.4,0.6,--,ATS
4/2012,4.7,1.5,--,ATS
5/2012,0.0,0.0,--,ATS
2/2013,8.7,3.2,--,ATS
3/2013,6.8,2.5,--,ATS
4/2013,0.0,0.0,--,ATS
5/2013,0.0,0.0,--,ATS
2/2014,0.0,0.0,--,ATS
3/2014,0.0,0.0,--,ATS
4/2014,0.0,0.0,--,ATS
5/2014,0.0,0.0,--,ATS
2/2015,0.0,0.0,--,ATS
3/2015,0.0,0.0,--,ATS
4/2015,0.0,0.0,--,ATS
5/2015,0.0,0.0,--,ATS
2/2016,9.0,2.0,--,ATS
3/2016,1.0,0.5,--,ATS
4/2016,0.0,0.0,--,ATS
5/2016,0.0,0.0,--,ATS
2/2000,74.5,18.9,20.0,BBS
3/2000,150.0,54.7,54.0,BBS
4/2000,105.5,50.2,50.2,BBS
5/2000,99.1,51.7,51.7,BBS
2/2001,50.8,14.2,14.2,BBS
3/2001,103.8,33.8,33.8,BBS
4/2001,73.6,34.6,34.6,BBS
5/2001,65.3,35.0,35.0,BBS
3/2002,97.8,44.2,44.2,BBS
4/2002,93.2,48.1,48.1,BBS
5/2002,48.5,26.1,27.0,BBS
2/2003,66.8,30.2,30.2,BBS
3/2003,75.2,37.7,37.7,BBS
4/2003,79.2,39.5,39.5,BBS
5/2003,115.0,52.7,52.1,BBS
2/2004,97.8,39.8,37.2,BBS
3/2004,132.0,57.7,56.1,BBS
4/2004,99.0,48.0,48.0,BBS
5/2004,76.5,54.8,54.8,BBS
2/2005,72.6,27.5,27.5,BBS
4/2005,102.7,47.7,47.7,BBS
5/2005,81.8,41.7,41.7,BBS
2/2006,70.4,28.1,25.3,BBS
5/2006,134.9,63.2,63.3,BBS
2/2007,25.0,8.0,8.0,BBS
4/2007,37.5,17.0,17.0,BBS
5/2007,26.7,12.5,12.5,BBS
3/2008,99.0,41.0,41.0,BBS
4/2008,81.4,50.8,50.8,BBS
5/2008,60.5,38.5,38.5,BBS
5/2009,44.6,23.4,--,BBS
5/2012,56.9,29.5,--,BBS
2/2013,53.1,19.0,--,BBS
3/2013,52.4,19.1,--,BBS
4/2013,46.3,18.3,--,BBS
5/2013,18.6,8.9,--,BBS
2/2014,4.5,2.0,--,BBS
3/2014,19.0,4.0,--,BBS
4/2014,7.5,2.0,--,BBS
5/2014,0.0,0.0,--,BBS
2/2015,9.0,4.5,--,BBS
3/2015,15.5,7.5,--,BBS
4/2015,0.0,0.0,--,BBS
5/2015,0.0,0.0,--,BBS
2/2016,76.0,31.5,--,BBS
3/2016,67.0,32.0,--,BBS
4/2016,78.0,37.0,--,BBS
5/2016,43.0,27.0,--,BBS
2/2000,70.8,13.5,13.5,BCB
3/2000,113.1,30.1,30.1,BCB
4/2000,86.9,36.4,36.4,BCB
5/2000,77.2,38.4,38.5,BCB
2/2001,43.2,11.4,11.4,BCB
3/2001,72.6,18.5,18.5,BCB
4/2001,56.3,20.3,20.3,BCB
3/2002,75.4,27.0,27.0,BCB
4/2002,77.2,31.8,31.8,BCB
5/2002,57.5,26.7,26.7,BCB
2/2003,33.1,16.7,16.7,BCB
3/2003,73.0,23.7,23.6,BCB
4/2003,73.6,25.8,25.8,BCB
5/2003,80.5,41.2,41.2,BCB
2/2004,59.8,19.6,19.7,BCB
3/2004,100.0,30.8,30.8,BCB
4/2004,62.4,27.1,27.1,BCB
5/2004,46.5,24.7,24.7,BCB
2/2005,95.9,35.1,35.1,BCB
3/2005,118.5,41.4,42.4,BCB
4/2005,125.6,49.0,49.0,BCB
5/2005,109.3,49.5,49.5,BCB
6/2005,72.5,38.6,--,BCB
2/2006,69.4,25.2,25.7,BCB
3/2006,75.2,27.9,31.4,BCB
4/2006,115.4,42.7,48.2,BCB
5/2006,135.1,54.0,54.0,BCB
6/2006,72.2,42.6,--,BCB
2/2007,22.4,6.7,6.7,BCB
3/2007,65.8,16.0,16.0,BCB
4/2007,41.8,15.3,15.3,BCB
5/2007,39.1,16.0,16.0,BCB
2/2008,72.4,21.3,21.3,BCB
3/2008,97.0,31.0,31.0,BCB
4/2008,70.1,29.4,30.3,BCB
